Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
train,10,2533618496.798905,3842178645.7990346,0.27628911648923077,0.0061486034383835325
train,100,37637614505.2029,71542148387.34732,0.2730042564235337,0.008126318746763254
train,500,36228924251.03345,68365072280.58329,0.2729085909952534,0.008198566594608605
val,10,4506714673.9819355,7866982032.084971,0.11788277264681518,0.005132056696548064
val,100,37616187384.58879,71267476133.1562,0.11679029703632982,0.006231525685564058
val,500,36214584294.76993,68372541806.69793,0.11696664677191175,0.0060662398822839535
test,10,3268004897.7084026,5098412856.906822,0.17724003002068137,0.0066375504646499816
test,100,37425351280.08695,71239973605.99571,0.17469407797589195,0.00665075847772573
test,500,36217989384.365234,68370708549.03605,0.17326911422300822,0.007178951696080194
